Timestamp,Are you a Singapore Citizen or Permanent Resident? ,Your age? ,Your profession / job? ,Gender?,Are you intending to migrate to another country in the future? ,"If yes, what is the country that you wish to migrate to? ","If you intend to migrate, what are the factors that have caused you to decide to do so? ","For the options checked in the previous question, would you remain in Singapore if they were addressed? ",Any personal thoughts on why Singaporeans might want to emigrate? 
7/25/2018 15:02:59,Singapore Citizen,35 - 45,Teacher,Male,Yes,Canada,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, Government Transparency",No,Lack of space/nature
7/25/2018 15:10:49,Singapore Citizen,35 - 45,Grab driver,Male,Yes,Vietnam ,Cost of Living,Maybe,Thing are expensive 
7/25/2018 15:19:56,Singapore Citizen,35 - 45,Development manager ,Male,Unsure,Australia,"Quality of Life, Over-crowding, Weather",Yes,"Too crowded, too fast tempo, getting expensive and force people to take care of others thru eg eldershield and careshield"
7/25/2018 15:25:19,Singapore Citizen,35 - 45,Teacher,Male,No,Australia,Quality of Life,Yes,Slower pace of life
7/25/2018 15:32:00,Singapore Citizen,35 - 45,Consultant ,Male,Yes,Thailand 🇹🇭 ,"Cost of Living, Quality of Life, Over-crowding, Healthcare Issues, Government Transparency, Public Social Support",Maybe,Cause the incompetent of government to reduce medical cost and holding back the CPF payout . And self paying so high to manage a small country . 
7/25/2018 15:57:19,Singapore Citizen,35 - 45,,Male,Yes,Thailand,"Cost of Living, Quality of Life, Political Scene, Education, Over-crowding, Government Transparency, Public Social Support",No,Quality of life. No sense of belonging
7/25/2018 16:38:09,Singapore Citizen,25 - 35,Student,Female,No,,,,
7/25/2018 16:38:17,Singapore Citizen,35 - 45,,Female,Unsure,Australia,"Cost of Living, Quality of Life, Over-crowding, Weather",Yes,
7/25/2018 16:39:49,Singapore Citizen,35 - 45,Banking,Male,Yes,New Zealand,"Quality of Life, Political Scene, Over-crowding, Weather, National Service, Government Transparency",Maybe,
7/25/2018 16:39:53,Singapore Citizen,35 - 45,IT Analyst,Male,No,,,,
7/25/2018 16:44:23,Singapore Citizen,35 - 45,Ops manager,Male,No,,"Cost of Living, Quality of Life, Political Scene, Job Opportunities / Salary, Over-crowding, Crime / Safety Issues, Government Transparency",Yes,For a better living environment and change of lifestyle 
7/25/2018 16:46:53,Singapore Citizen,35 - 45,Freight forwarder,Male,Yes,Thailand,"Cost of Living, Quality of Life, Healthcare Issues, Public Social Support, Thai wife",Yes,"Housing and car too expensive, cost of living too high, enjoyment of life not there in Singapore if you are not upper tier income earners"
7/25/2018 17:03:23,Singapore Citizen,45 and above,progrmme coordinator,Female,,,,,
7/25/2018 17:10:23,Singapore Citizen,45 and above,Program Executive,Female,No,,,,"Less stress, work life balance"
7/25/2018 17:10:37,Singapore Citizen,45 and above,Housewife,Female,Yes,Australia,"Education, Weather",Yes,high cost of living and weather 
7/25/2018 17:11:33,Singapore Citizen,45 and above,,Female,No,,,,
7/25/2018 17:24:45,Singapore Citizen,45 and above,Nurse,Female,No,,,,Overseas a better place to retire and life not so hectic.
7/25/2018 17:25:01,Singapore Citizen,35 - 45,School manager,Male,Unsure,Taiwan,"Cost of Living, Job Opportunities / Salary, Weather",Yes,
7/25/2018 17:33:49,Singapore Citizen,35 - 45,Project Manager,Male,Unsure,,,,
7/25/2018 17:39:09,Singapore Citizen,25 - 35,Mechanical engineer,Male,Yes,Australia,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, Government Transparency",Yes,Leaders that does not seems to have clear direction and lose touch of the ground
7/25/2018 17:42:36,Singapore Citizen,35 - 45,,Male,No,,,,Stress
7/25/2018 17:55:10,Singapore Citizen,45 and above,Consultant,Female,Unsure,Canada,"Cost of Living, Quality of Life, Job Opportunities / Salary, Healthcare Issues",Yes,High cost of living. Government running the country like corporate organisation very profit driven.
7/25/2018 18:13:20,Singapore Citizen,25 - 35,Full time student,Male,Unsure,New Zealand,"Cost of Living, Quality of Life",Yes,The pace in Sg is simply too fast and cost of living is ever increasing. Not an ideal place to retire.
7/25/2018 18:19:30,Singapore Citizen,45 and above,Account assistant ,Female,No,,,,have a better n not too stress life. 
7/25/2018 18:20:36,Singapore Citizen,45 and above,Freelancer,Female,No,,,,Over crowded n high cost of living
7/25/2018 18:21:05,Singapore Citizen,45 and above,Account assistant ,Female,No,,,,to have life n work balance in future 
7/25/2018 18:27:01,Singapore Citizen,35 - 45,,Male,Unsure,Vietnam/Thailand,"Cost of Living, Quality of Life, Political Scene, Government Transparency",Yes,the ever-increasing cost of living each year that increase dramatically compare to other modern countries. 
7/25/2018 18:34:21,Singapore Citizen,35 - 45,,Male,Yes,Europe,"Cost of Living, Quality of Life, Political Scene, Over-crowding, Weather, National Service, Government Transparency",Maybe,Stressful life
7/25/2018 18:38:17,Singapore Citizen,45 and above,,Female,No,,,,
7/25/2018 18:45:01,Singapore Citizen,25 - 35,Data Scientist,Male,No,,,,Better prospects and standard of living elsewhere.
7/25/2018 19:59:25,Permanent Resident,45 and above,Scientist ,Male,No,,,,"Land buying, pressure for kids, expensive life, hot and humid weather, freedom of speech, etc."
7/25/2018 20:00:20,Singapore Citizen,35 - 45,Manager,Male,Yes,Australia,"Cost of Living, Quality of Life, Education",Maybe,Too stressed 
7/25/2018 20:21:09,Singapore Citizen,18 - 25,Sales support,Female,Unsure,Australia,"Cost of Living, Education, Healthcare Issues",Maybe,Cost of living is too high and medical cost is too expensive. 
7/25/2018 20:25:03,Singapore Citizen,18 - 25,Student,Male,Yes,China,"Cost of Living, Quality of Life, Weather, National Service, Technology scene",Yes,"Hot weather, government, salary"
7/25/2018 21:02:53,Singapore Citizen,35 - 45,Engineer,Male,No,,,,Change of lifestyle. Cost of living. 
7/25/2018 21:15:49,Singapore Citizen,25 - 35,Bank Executive,Female,Unsure,,"Cost of Living, Quality of Life, Healthcare Issues, Crime / Safety Issues, Government Transparency",No,The cost of living
7/25/2018 21:59:00,Singapore Citizen,25 - 35,Career coach,Female,Unsure,Thailand,Cost of Living,Maybe,"Cost of living, education life too stressful"
7/25/2018 22:01:21,Singapore Citizen,45 and above,PME,Male,No,,,,Work life balance
7/25/2018 22:06:21,Singapore Citizen,25 - 35,Software Engineer,Male,No,,,,"Singapore is too expensive, too stress"
7/25/2018 22:07:52,Singapore Citizen,18 - 25,Student,Female,Unsure,,,,Stress here. 
7/25/2018 22:08:51,Singapore Citizen,45 and above,,Male,No,,,,
7/25/2018 22:32:46,Singapore Citizen,18 - 25,Civil Servant,Male,Unsure,New Zealand,"Quality of Life, Job Opportunities / Salary, Weather",Yes,"Mainly cost of living. Many middle class Singaporeans work their entire life to pay off possibly their only single house loan(and car ownership although not a neccesity), while in other countries, the money could be used for much more. Plua theres less restrictions in asset ownership abroad"
7/25/2018 22:41:53,Singapore Citizen,35 - 45,Software Engineer,Female,Yes,USA,"Quality of Life, Over-crowding, Weather, marriage",Maybe,Change of Lifestyle
7/25/2018 22:48:41,Permanent Resident,35 - 45,Self employed ,Female,Yes,Canada,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, Healthcare Issues, Government Transparency, Public Social Support",Maybe,"Singapore no longer feels like a ""home"". It's more like a company owned by the current party. And Singaporeans just work for them. "
7/25/2018 23:00:02,Singapore Citizen,45 and above,Marketing manager,Male,No,,,,Less stress..better climate
7/25/2018 23:28:27,Singapore Citizen,45 and above,Admin Assistant,Female,No,,,,No
7/26/2018 0:41:11,Singapore Citizen,35 - 45,IT manager,Male,Yes,New Zealand,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, Government Transparency, Public Social Support",No,Government living in their own ivory tower
7/26/2018 6:44:17,Singapore Citizen,35 - 45,Trust administrator ,Female,Unsure,Australia,"Cost of Living, Quality of Life, Over-crowding, Weather",No,Too many foreign people in Singapore and opportunities given to them. Resources should be used to train or develop Singaporean instead of using them to attract foreign people.
7/26/2018 8:12:14,No,25 - 35,Trust officer,Male,Yes,Australia,"Cost of Living, Job Opportunities / Salary",Maybe,
7/26/2018 8:15:19,Singapore Citizen,35 - 45,Administrator,Female,No,,,,Hectic life & high cost of living
7/26/2018 8:16:52,Singapore Citizen,35 - 45,Administrator,Male,No,,,,Cost of living is getting higher every year and standard of living is dropping due to overcrowding. 
7/26/2018 8:20:00,Singapore Citizen,25 - 35,IT/ marketing ,Female,Unsure,Japan ,"Political Scene, Weather, Government Transparency, Public Social Support, no human rights and We can’t even protest or speak up without getting prosecuted by the government when they decide on something. ",Yes,"Depends on where to emigrate to, reasons should be slightly different "
7/26/2018 8:23:43,Singapore Citizen,35 - 45,,Female,No,,,,"High cost of living, job opportunities, lack of SG identity"
7/26/2018 8:32:43,Singapore Citizen,35 - 45,Analyst ,Male,Unsure,Australia,"Cost of Living, Quality of Life, Over-crowding",Yes,
7/26/2018 8:32:43,Singapore Citizen,35 - 45,Bank Officer ,Female,No,,,,"Country is small, so people may want to see a bigger world. And Singaporeans can speak English, so language is not a big problem when migrating to another country. "
7/26/2018 8:32:59,Singapore Citizen,35 - 45,Consultant,Female,No,,,,Stressful environment and high standard of living.
7/26/2018 8:35:00,Singapore Citizen,35 - 45,Manager,Male,No,,,,High stress in singapore/slower pace of life/education issues
7/26/2018 8:39:34,Singapore Citizen,35 - 45,IT,Male,No,,,,
7/26/2018 8:39:59,Singapore Citizen,35 - 45,AVP,Female,Yes,Canada,"Cost of Living, Education, Job Opportunities / Salary, Government Transparency",Yes,Mainly because of how goverment are structured that they do not benefited the citizen. 
7/26/2018 8:40:13,Singapore Citizen,18 - 25,Student,Male,Yes,Canada,"Cost of Living, Quality of Life, Education",Maybe,"Pace of life is too fast, never ending work and it is too competitive "
7/26/2018 8:40:54,Singapore Citizen,25 - 35,Trust services,Female,No,,,,Unable to keep up with high maintenance costs and S’pore being too rigid and conservative. 
7/26/2018 8:42:46,Singapore Citizen,25 - 35,Admin,Female,No,,,,"Hectic, stress and monetary factors"
7/26/2018 8:45:56,No,25 - 35,,Female,Unsure,Australia,"Quality of Life, Job Opportunities / Salary, Over-crowding, Weather",Maybe,quality of life
7/26/2018 8:47:39,Singapore Citizen,35 - 45,,Female,Unsure,Australia,"Cost of Living, Quality of Life, Over-crowding, Weather",Yes,
7/26/2018 8:47:52,Singapore Citizen,18 - 25,Student,Female,No,,,,
7/26/2018 9:23:08,Singapore Citizen,18 - 25,nsf,Male,No,,,,
7/26/2018 9:40:52,Singapore Citizen,25 - 35,Trust Officer,Male,Unsure,Canada,Quality of Life,Yes,
7/26/2018 9:45:32,Singapore Citizen,35 - 45,IT Sales,Male,Unsure,China,Cost of Living,Yes,Singaporeans from young has been taught to routine learn n get a good job. Many people end up doing jobs to make money rather than take on jobs of interest
7/26/2018 9:59:00,Singapore Citizen,35 - 45,Project Manager,Male,Yes,USA,"Cost of Living, Quality of Life, Education, Job Opportunities / Salary",Maybe,"Poor IP laws, poor support for LGBTQ that would bring big companies here - big companies with better and bigger ideas which represent better job opportunities, more interesting jobs, better team members.

Poor social support for families with children with learning disabilities. In US, if living in the right state, there is so much support for it. Even free.

Bottom line, if you don’t fit into the Singaporean mold, you get restricted very quickly."
7/26/2018 10:06:08,Singapore Citizen,25 - 35,Student,Male,No,,,,More exposure
7/26/2018 10:41:13,Singapore Citizen,45 and above,,Female,Unsure,United Kingdom,"Cost of Living, Job Opportunities / Salary, Healthcare Issues",Yes,"Healthcare cost, cost of living, and social benefits."
7/26/2018 10:52:19,Singapore Citizen,25 - 35,Analyst,Female,No,,,,"High living cost, influx of foreign talents. "
7/26/2018 11:02:19,Singapore Citizen,25 - 35,Student ,Female,Yes,New Zealand,"Cost of Living, Quality of Life, Weather, Government Transparency, Public Social Support",Yes,Competing for space is a primary cause of all problems. We are becoming hk no 2
7/26/2018 11:31:55,Singapore Citizen,35 - 45,,Male,Unsure,Australia,"Cost of Living, Quality of Life, Over-crowding, Weather",Yes,Cost of living is really really high especially medical and housing. Lower job opportunities due to influx of cheap pr and foreign labour who can retire in their low cost living home land.
7/26/2018 12:11:19,Singapore Citizen,18 - 25,Baker,Female,No,,,,Singapore lifestyle is too fast paced 
7/26/2018 13:02:08,Singapore Citizen,35 - 45,Trust Professional,Male,No,,,,Always greener on other side
7/26/2018 14:09:08,Singapore Citizen,25 - 35,Admin,Female,Unsure,New Zealand,"Cost of Living, Quality of Life, Job Opportunities / Salary, Weather",Yes,
7/26/2018 14:15:45,Singapore Citizen,35 - 45,Executive,Male,Yes,Australia,"Quality of Life, Over-crowding, Weather",Maybe,Pace of life
7/26/2018 14:17:14,Singapore Citizen,25 - 35,,Male,Yes,USA,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, National Service, Healthcare Issues, Government Transparency",Maybe,Politicians are disconnected with the common people.
7/26/2018 14:17:53,Singapore Citizen,35 - 45,IT,Male,Yes,Canada,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, National Service, Healthcare Issues, Crime / Safety Issues, Government Transparency, Public Social Support",Yes,
7/26/2018 14:22:51,Singapore Citizen,25 - 35,,Male,Yes,Taiwan,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, National Service, Healthcare Issues, Government Transparency",No,Fuck the pap
7/26/2018 14:25:11,Singapore Citizen,25 - 35,Sales and Marketing,Male,Unsure,New Zealand,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, Weather, National Service, Government Transparency",Yes,"The cost of living is extremely high, country unable to provide the conducive environment and lifestyle to make individuals happy or satisfied. "
7/26/2018 14:32:45,Singapore Citizen,25 - 35,Engineer,Male,Unsure,Australia,"Quality of Life, Education, Job Opportunities / Salary, Government Transparency",Yes,"Totally no jobs for certain industries, eg. design engineering, geology, research, etc"
7/26/2018 14:52:08,Singapore Citizen,25 - 35,Unemployed,Male,Unsure,USA,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Government Transparency",Maybe,The government. Losing credibility years after years.
7/26/2018 14:53:14,Singapore Citizen,25 - 35,Engineer,Male,No,,,,
7/26/2018 14:55:01,Singapore Citizen,25 - 35,R&D manager,Male,Yes,USA,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, National Service, Government Transparency",Maybe,Too expensive
7/26/2018 14:56:18,Singapore Citizen,25 - 35,,Male,Yes,Canada,"Quality of Life, Weather",Yes,
7/26/2018 14:57:08,Singapore Citizen,25 - 35,Self employed ,Female,Unsure,Australia,"Cost of Living, Quality of Life, Over-crowding, Weather, Healthcare Issues, Government Transparency, Public Social Support",Yes,Lost identity 
7/26/2018 14:58:37,Singapore Citizen,35 - 45,Jobless,Male,Yes,Australia,"Cost of Living, Quality of Life, Political Scene, Job Opportunities / Salary, Over-crowding, Weather, National Service",Maybe,Shortchanged and betrayed by the treacherous govt.
7/26/2018 14:59:22,Singapore Citizen,25 - 35,Finance,Male,Yes,Australia,"Cost of Living, Quality of Life, Political Scene, Education, Over-crowding, Weather, National Service, Healthcare Issues, Crime / Safety Issues, Government Transparency, Public Social Support",Yes,"Mediocre crony government, overcrowding due to LAX immigration policies, non transparent government, increasing corruption and extremely high cost of living not even recognised by the government."
7/26/2018 14:59:54,Singapore Citizen,25 - 35,IT Engineer,Dinosaur,Yes,USA,"Cost of Living, Quality of Life, Political Scene, Over-crowding, Weather, National Service, Healthcare Issues, Government Transparency",No,Ownself Check Ownself
7/26/2018 15:00:19,Singapore Citizen,35 - 45,Sales,Male,Yes,Australia,"Quality of Life, Over-crowding, Weather",Maybe,Better quality of life
7/26/2018 15:04:23,Singapore Citizen,25 - 35,Unemployed,Male,Yes,Japan,Political Scene,Maybe,"They are not disloyal, just forced by circumstance."
7/26/2018 15:08:31,Singapore Citizen,35 - 45,Finance,Male,Yes,Australia,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, National Service, Healthcare Issues, Government Transparency, Public Social Support",Yes,Very little value in being a Singaporean
7/26/2018 15:27:14,Singapore Citizen,35 - 45,,Male,Yes,USA,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, Healthcare Issues, Crime / Safety Issues, Government Transparency, Public Social Support",Maybe,
7/26/2018 15:28:10,Singapore Citizen,18 - 25,,Female,Unsure,New Zealand,"Cost of Living, Quality of Life, Over-crowding, Government Transparency, Public Social Support",Maybe,Emigrate for better way of life
7/26/2018 15:29:04,Singapore Citizen,18 - 25,Programmer,Male,Yes,Australia,"Quality of Life, Education, Weather, The number of idiots in our society",Yes,Look at our social society? It is becoming a degenerate society.
7/26/2018 15:29:46,Singapore Citizen,25 - 35,,Male,No,,,,
7/26/2018 15:31:48,Singapore Citizen,35 - 45,Lawyer,Male,Yes,Thailand,"Education, National Service, See no future for Singapore as a country. And any children of mine will never waste 2 years of their lives vide conscription ",No,PAP.  
7/26/2018 15:32:03,Singapore Citizen,35 - 45,Project Manager,Transgender,Yes,Taiwan,"Cost of Living, Quality of Life, Political Scene, Over-crowding, Government Transparency",Yes,PAp
7/26/2018 15:32:19,Singapore Citizen,35 - 45,Senior IT consultant,Male,Yes,Australia,"Education, Job Opportunities / Salary, National Service",No,Already migrated Liao lor
7/26/2018 15:32:53,Singapore Citizen,18 - 25,Admin Assistant,Female,No,,,,"Environment (school and work), culture, experience "
7/26/2018 15:33:19,Singapore Citizen,25 - 35,Head of Quality,Male,No,,,,High cost of living low quality of living
7/26/2018 15:34:04,Singapore Citizen,25 - 35,Student,Male,Unsure,Unsure,"Quality of Life, Job Opportunities / Salary, Over-crowding",Yes,Legalized corruption 
7/26/2018 15:35:59,Singapore Citizen,45 and above,Researcher,Male,Yes,USA,"Quality of Life, Political Scene, Job Opportunities / Salary, Over-crowding, Public Social Support",No,"Singapore totally cannot make it now. This one of the former 4 Asian Dragons will never be as successful as it used to be because the gov does not have a clue how to get SG back to its former prosperity, except to keep importing foreign talents who are not necessarily better than Singaporeans and they are getting more pay."
7/26/2018 15:37:12,Singapore Citizen,25 - 35,,Male,Yes,New Zealand,"Cost of Living, Quality of Life, Political Scene, Job Opportunities / Salary, National Service, Government Transparency",Maybe,You should know why since you’re doing a survey
7/26/2018 15:40:16,Singapore Citizen,25 - 35,Marketing,Female,Unsure,Japan,"Quality of Life, Political Scene, Job Opportunities / Salary",Yes,Society is moving backwards.
7/26/2018 15:41:33,Singapore Citizen,25 - 35,,Male,Yes,Australia,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, National Service, Healthcare Issues, Crime / Safety Issues, Government Transparency, Public Social Support",Maybe,
7/26/2018 15:43:55,Singapore Citizen,45 and above,,Male,Yes,USA,"Cost of Living, Political Scene, Over-crowding, Government Transparency",Yes,PAP
7/26/2018 15:47:48,Singapore Citizen,25 - 35,,Male,No,,,,Social economic issues
7/26/2018 15:48:06,Singapore Citizen,25 - 35,,Male,Yes,Australia,"Quality of Life, Weather",No,Singapore doesn't feel like home anymore
7/26/2018 15:53:45,Singapore Citizen,35 - 45,,Male,Yes,Australia,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, National Service, Healthcare Issues, Crime / Safety Issues, Government Transparency, Public Social Support",No,they hate PAP
7/26/2018 15:55:25,Singapore Citizen,18 - 25,Jobless and selling backside,Attack heli,Unsure,Taiwan,"Cost of Living, Quality of Life, Political Scene, Education, Job Opportunities / Salary, Over-crowding, Weather, National Service, Healthcare Issues, Crime / Safety Issues, Government Transparency, Public Social Support, Twmm",Maybe,life here jin tough man
7/26/2018 15:58:25,Singapore Citizen,25 - 35,Public Relations,Male,Unsure,,Job Opportunities / Salary,Yes,"Singapore is a pressure cooker environment, everyday we are up against different odds. Some may not like it and decide to leave. Some may have the eligibility to move due to their job skill sets."
7/26/2018 16:22:20,Singapore Citizen,45 and above,,Male,Unsure,Taiwan,Weather,Yes,
7/26/2018 16:23:05,Singapore Citizen,18 - 25,analyst,Male,Yes,why is there only an option to choose 1. why cant i choose more than 1,"Cost of Living, Quality of Life, Job Opportunities / Salary",Yes,
7/26/2018 16:23:17,Singapore Citizen,25 - 35,,Male,Yes,China,"Cost of Living, Quality of Life, Over-crowding, Weather",Yes,
7/26/2018 16:26:27,Singapore Citizen,35 - 45,Group Accountant,Male,No,,,,stressful lifestyle and high standard cost of living and potential hike in GST
7/26/2018 16:26:56,Singapore Citizen,25 - 35,,Male,Yes,New Zealand,"Cost of Living, Quality of Life, Over-crowding",Maybe,
7/26/2018 16:27:40,Singapore Citizen,25 - 35,Software,Male,Yes,USA,Job Opportunities / Salary,Yes,"Mostly job opportunities. The ceiling here in singapore is real and low. Also, going overseas for a few years would make yourself much more marketable locally."
7/26/2018 16:36:43,Singapore Citizen,25 - 35,ops exe,Male,Unsure,New Zealand,"Cost of Living, Quality of Life, Education, Job Opportunities / Salary, Over-crowding, Weather, Public Social Support",Maybe,singaporeans are not provided the fruits of their senior's labour.  
7/26/2018 16:51:20,Singapore Citizen,25 - 35,Engineering Assistant,Male,Unsure,New Zealand,"Cost of Living, Quality of Life, Political Scene, Job Opportunities / Salary, Over-crowding, Government Transparency, Mass import of foreign ""talents""",Yes,"The government viewing the commoners (local or foreign) as economic digits.
Incompetent croonism in the government."
7/26/2018 16:59:44,Singapore Citizen,25 - 35,,Male,Yes,Australia,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, National Service, Healthcare Issues, Government Transparency",Maybe,"Lack of opportunities. A country that has a conscription based military yet refuses to protect its citizens in terms of living standards, the future outlook is not sustainable in the long run. Resentment of the government is definitely felt on the ground with the double standards applied on citizens compared to foreigners. This is spitting in the face of meritocracy that the government preaches so much about. "
7/26/2018 17:07:49,Singapore Citizen,25 - 35,Engineer,Male,Yes,Australia,"Quality of Life, Education, Job Opportunities / Salary, Weather",No,
7/26/2018 17:11:29,Singapore Citizen,35 - 45,software developer,Male,Unsure,Malaysia,"Cost of Living, Quality of Life, Job Opportunities / Salary",Maybe,stretch retirement pool
7/26/2018 17:15:49,Singapore Citizen,25 - 35,Engineer,Male,Yes,New Zealand,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, Government Transparency",Yes,Singapore is no longer for Singaporeans. It’s a money making machine 
7/26/2018 17:19:00,Singapore Citizen,35 - 45,,Male,Yes,,"Cost of Living, Quality of Life, Education, National Service, Government Transparency",Maybe,"Singapore is 1st world when it comes to GDP and infrastructure but 4th world in terms of human, civil, employment rights and genuine citizen participation in policy making/politics!"
7/26/2018 17:31:07,Singapore Citizen,< 18,student,Female,No,,,,other countries have more efficient university courses
7/26/2018 18:10:31,Singapore Citizen,18 - 25,Chao NSF,Male,Yes,United Kingdom,"Cost of Living, Political Scene, Over-crowding, Government Transparency",Yes,Too many ceca
7/26/2018 18:16:38,Singapore Citizen,35 - 45,Self Employed,Female,Yes,Australia,"Cost of Living, Quality of Life, Political Scene, Education, Over-crowding, Healthcare Issues, Government Transparency, Public Social Support",Yes,Govt does not look after senior citizens well enough.
7/26/2018 19:10:58,Singapore Citizen,18 - 25,Bank Exec,Male,Yes,USA,"Cost of Living, Political Scene, Job Opportunities / Salary, Over-crowding, Weather, National Service, Public Social Support",Maybe,"Citizens are treated as 2nd class citizens in their own country by the govt, the PAP is self-serving, not for the country. "
7/26/2018 20:00:51,Singapore Citizen,25 - 35,Finance,Male,Unsure,USA,"Cost of Living, Quality of Life, Job Opportunities / Salary, Over-crowding, Weather",Maybe,
7/26/2018 20:02:19,Singapore Citizen,45 and above,,Female,No,,,,High cost of living
7/26/2018 20:07:42,Singapore Citizen,18 - 25,Software Engineer,Male,No,,,,"Though I selected no, I plan to obtain another citizenship elsewhere (probably EU). Just don't declare that when back in SG. People want to emigrate because there are better options elsewhere for research, lifestyle and welfare. With regards to welfare, SG is astonishingly poor with regards to managing people of special needs. If no money to migrate, family just suffers. So it is a wise option to at least entertain the thought of acquiring another citizenship for the future.

TLDR just allow dual citizenship. Confirm less ppl throwing SG passport at Pinky's first. No idea how they'll solve the NS issue though but hey, high paid job should also entail difficult work"
7/26/2018 20:10:48,Singapore Citizen,45 and above,Retired,Female,Unsure,Australia,Cost of Living,Yes,High cost of living and outrageous housing cost. 
7/26/2018 20:19:05,Singapore Citizen,25 - 35,,Male,Yes,United Kingdom,"Quality of Life, Job Opportunities / Salary, Over-crowding, Weather, National Service, Government Transparency, Public Social Support",Yes,dirty politics
7/26/2018 20:29:44,Singapore Citizen,25 - 35,Consultant ,Male,Yes,USA,"Quality of Life, Political Scene, Job Opportunities / Salary, National Service",Maybe,Better opportunity. Singapore is a small island with no natural resources and is doomed to fail in the long run. 
